NODENAME,NEIGHBOR_HOSTNAME,Direction,Traffic_Gate,Exchange,NEIGHBORLOCATION
KFRSHK-R41J-KFS-EG,KFRBQL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRBAQLOLA...KFS
KFRSHK-R41J-KFS-EG,HASSFA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,HASSFA...KFS
KFRSHK-R41J-KFS-EG,MORBEN-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MORABEEN...KFS
KFRSHK-R41J-KFS-EG,KFRBQL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRBAQLOLA...KFS
KFRSHK-R41J-KFS-EG,WARAQ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,WARAQ...KFS
KFRSHK-R41J-KFS-EG,DMRHDY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DEMROELHADADY...KFS
KFRSHK-R41J-KFS-EG,KFRGRD-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRELGARAYDA...KFS
KFRSHK-R41J-KFS-EG,QARDA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,QARDA...KFS
KFRSHK-R41J-KFS-EG,QARDA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,QARDA...KFS
KFRSHK-R41J-KFS-EG,QARDA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,QARDA...KFS
KFRSHK-R41J-KFS-EG,QARDA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,QARDA...KFS
KFRSHK-R41J-KFS-EG,MTDBAB-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MEETELDEBABAH...KFS
KFRSHK-R41J-KFS-EG,KFRMRZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRELMARAZQA...KFS
KFRSHK-R41J-KFS-EG,SRDSCH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SARADOSCHURCH...KFS
KFRSHK-R41J-KFS-EG,EBSHAN-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,EBSHAN...KFS
KFRSHK-R41J-KFS-EG,ZAFRAN-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ZAAFARAN...KFS
KFRSHK-R41J-KFS-EG,BRMBAL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BEREMBAL...KFS
KFRSHK-R41J-KFS-EG,BRMBAL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BEREMBAL...KFS
KFRSHK-R41J-KFS-EG,BRMBAL-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BEREMBAL...KFS
